iter	Passed	Remaining
173	426	2026
174	429	2023
175	431	2018
176	433	2013
177	435	2010
178	436	2004
179	438	1997
180	440	1994
181	442	1989
182	444	1984
183	446	1982
184	448	1977
185	450	1972
186	452	1966
187	454	1964
188	456	1959
189	458	1954
190	460	1952
191	462	1946
192	464	1941
193	466	1937
194	467	1931
195	469	1926
196	471	1920
197	473	1918
198	475	1912
199	476	1907
200	478	1901
201	480	1897
202	482	1892
203	483	1886
204	485	1882
205	487	1878
206	489	1873
207	490	1868
208	493	1866
209	494	1861
210	496	1857
211	498	1854
212	500	1850
213	502	1845
214	504	1840
215	506	1839
216	508	1834
217	510	1829
218	513	1831
219	515	1827
220	518	1828
221	521	1829
222	533	1857
223	535	1854
224	538	1854
225	540	1852
226	543	1850
227	548	1858
228	552	1859
229	554	1855
230	555	1849
231	557	1846
232	559	1842
233	561	1836
234	562	1831
235	564	1827
236	566	1822
237	567	1817
238	569	1812
239	570	1807
240	572	1803
241	574	1798
242	575	1793
243	577	1788
244	579	1784
245	580	1780
246	582	1775
247	584	1772
248	586	1768
249	587	1763
250	589	1758
251	591	1755
252	592	1750
253	594	1746
254	596	1741
255	598	1738
256	599	1733
257	601	1728
258	602	1724
259	604	1721
260	606	1716
261	607	1712
262	609	1708
263	611	1704
264	612	1699
265	614	1695
266	616	1691
267	617	1687
268	619	1683
269	621	1679
270	623	1675
271	624	1672
272	626	1667
273	627	1663
274	629	1660
275	632	1658
276	633	1654
277	636	1654
278	638	1650
279	640	1646
280	642	1643
281	643	1639
282	645	1635
283	647	1631
284	649	1628
285	650	1624
286	652	1620
287	654	1617
288	656	1613
289	657	1609
290	659	1605
291	661	1603
292	662	1599
293	664	1595
294	665	1591
295	667	1588
296	669	1584
297	670	1580
298	672	1576
299	673	1571
300	675	1568
301	676	1564
302	678	1560
303	680	1556
304	682	1554
305	684	1551
306	685	1547
307	687	1545
308	689	1541
309	691	1538
310	692	1534
311	695	1533
312	697	1530
313	698	1526
314	701	1526
315	703	1522
316	704	1518
317	707	1517
318	709	1514
319	711	1510
320	712	1507
321	715	1505
322	716	1502
323	718	1498
324	721	1498
325	723	1495
326	724	1490
327	726	1489
328	728	1486
329	730	1482
330	731	1479
331	734	1477
332	736	1474
333	737	1470
334	740	1469
335	742	1466
336	743	1463
337	746	1462
338	748	1459
339	749	1455
340	752	1454
341	754	1451
342	755	1447
343	757	1444
344	760	1443
345	761	1439
346	763	1436
347	765	1434
348	767	1431
349	769	1428
350	770	1424
351	772	1422
352	774	1419
353	776	1416
354	779	1417
355	781	1413
356	782	1410
357	785	1408
358	787	1405
359	788	1401
360	791	1400
361	792	1397
362	794	1394
363	797	1393
364	799	1390
365	800	1386
366	802	1383
367	804	1382
368	806	1379
369	808	1376
370	811	1375
371	812	1372
372	814	1369
373	817	1368
374	819	1365
375	821	1362
376	824	1362
377	826	1359
378	827	1356
379	830	1355
380	832	1352
381	833	1349
382	836	1347
383	838	1345
384	840	1342
385	842	1340
386	844	1337
387	846	1334
388	847	1331
389	850	1330
390	852	1327
391	853	1324
392	856	1322
393	858	1320
394	859	1316
395	861	1314
396	863	1311
397	865	1308
398	866	1305
399	870	1305
400	871	1302
401	873	1299
402	876	1298
403	878	1296
404	880	1293
405	883	1292
406	885	1289
407	886	1286
408	889	1286
409	892	1283
410	894	1282
411	896	1280
412	898	1277
413	900	1274
414	902	1272
415	904	1269
416	905	1266
417	909	1266
418	911	1263
419	912	1260
420	915	1258
421	916	1255
422	920	1256
423	922	1253
424	924	1250
425	927	1249
426	928	1246
427	932	1246
428	934	1244
429	938	1243
430	939	1240
431	941	1238
432	945	1238
433	947	1235
434	950	1234
435	952	1232
436	954	1229
437	957	1228
438	959	1226
439	961	1224
440	964	1222
441	966	1219
442	969	1218
443	971	1216
444	972	1213
445	975	1212
446	977	1209
447	979	1206
448	980	1203
449	982	1200
450	983	1197
451	985	1194
452	986	1191
453	988	1189
454	990	1186
455	991	1183
456	993	1180
457	995	1177
458	996	1174
459	998	1171
460	1000	1169
461	1001	1166
462	1003	1164
463	1005	1161
464	1007	1159
465	1009	1156
466	1010	1153
467	1012	1150
468	1013	1147
469	1015	1145
470	1017	1142
471	1018	1139
472	1020	1137
473	1022	1134
474	1023	1131
475	1025	1128
476	1026	1125
477	1028	1123
478	1029	1120
479	1031	1117
480	1033	1114
481	1034	1111
482	1036	1109
483	1037	1106
484	1039	1103
485	1041	1101
486	1042	1098
487	1044	1095
488	1045	1092
489	1047	1090
490	1048	1087
491	1050	1084
492	1052	1082
493	1053	1079
494	1055	1076
495	1056	1073
496	1059	1072
497	1060	1069
498	1062	1066
499	1063	1063
500	1066	1062
501	1068	1059
502	1069	1056
503	1072	1055
504	1073	1052
505	1075	1049
506	1076	1047
507	1079	1045
508	1081	1043
509	1082	1040
510	1085	1038
511	1087	1036
512	1088	1033
513	1091	1032
514	1093	1029
515	1094	1026
516	1096	1024
517	1099	1022
518	1100	1020
519	1102	1017
520	1104	1015
521	1106	1013
522	1108	1010
523	1109	1008
524	1112	1006
525	1114	1004
526	1115	1001
527	1118	1000
528	1120	997
529	1122	995
530	1125	994
531	1127	991
532	1128	988
533	1130	986
534	1132	983
535	1133	981
536	1135	979
537	1138	977
538	1139	974
539	1141	972
540	1144	970
541	1146	968
542	1147	965
543	1149	963
544	1151	961
545	1154	960
546	1157	958
547	1159	956
548	1160	953
549	1163	952
550	1165	949
551	1167	947
552	1169	945
553	1171	942
554	1172	940
555	1174	937
556	1176	935
557	1177	933
558	1179	930
559	1181	928
560	1183	926
561	1185	923
562	1186	921
563	1189	919
564	1190	916
565	1192	914
566	1196	913
567	1203	915
568	1204	912
569	1206	910
570	1209	908
571	1210	905
572	1212	903
573	1213	900
574	1215	898
575	1217	895
576	1218	893
577	1220	890
578	1221	888
579	1223	885
580	1224	883
581	1226	880
582	1228	878
583	1229	876
584	1231	873
585	1232	870
586	1234	868
587	1236	866
588	1237	863
589	1239	861
590	1240	858
591	1242	856
592	1243	853
593	1245	851
594	1247	849
595	1249	846
596	1250	844
597	1251	841
598	1253	839
599	1255	836
600	1256	834
601	1258	831
602	1260	829
603	1261	827
604	1263	824
605	1264	822
606	1266	820
607	1268	817
608	1269	815
609	1271	812
610	1272	810
611	1274	807
612	1275	805
613	1277	802
614	1278	800
615	1280	798
616	1281	795
617	1283	793
618	1284	790
619	1286	788
620	1287	785
621	1289	783
622	1290	781
623	1292	778
624	1293	776
625	1295	773
626	1296	771
627	1298	769
628	1300	766
629	1301	764
630	1302	761
631	1305	760
632	1307	758
633	1309	755
634	1310	753
635	1314	752
636	1315	749
637	1317	747
638	1320	745
639	1321	743
640	1323	741
641	1326	739
642	1328	737
643	1330	735
644	1333	734
645	1335	731
646	1337	729
647	1339	727
648	1341	725
649	1342	722
650	1344	720
651	1346	718
652	1348	716
653	1349	714
654	1353	712
655	1354	710
656	1357	708
657	1359	706
658	1361	704
659	1362	702
660	1365	700
661	1367	698
662	1368	695
663	1371	694
664	1373	691
665	1374	689
666	1377	687
667	1379	685
668	1380	683
669	1382	680
670	1385	679
671	1387	676
672	1388	674
673	1392	673
674	1393	671
675	1395	668
676	1398	667
677	1400	664
678	1401	662
679	1405	661
680	1406	658
681	1408	656
682	1411	655
683	1412	652
684	1414	650
685	1416	648
686	1418	646
687	1419	643
688	1421	641
689	1424	639
690	1425	637
691	1427	635
692	1429	633
693	1431	631
694	1432	628
695	1434	626
696	1437	624
697	1438	622
698	1440	620
699	1443	618
700	1444	616
701	1446	613
702	1447	611
703	1450	609
704	1452	607
705	1453	605
706	1456	603
707	1457	601
708	1459	598
709	1460	596
710	1462	594
711	1464	592
712	1465	589
713	1466	587
714	1468	585
715	1470	583
716	1471	580
717	1473	578
718	1475	576
719	1476	574
720	1478	572
721	1480	569
722	1482	567
723	1483	565
724	1485	563
725	1487	561
726	1489	559
727	1490	556
728	1492	554
729	1494	552
730	1495	550
731	1497	548
732	1498	545
733	1500	543
734	1501	541
735	1503	539
736	1505	537
737	1506	534
738	1508	532
739	1510	530
740	1511	528
741	1513	526
742	1515	524
743	1516	521
744	1517	519
745	1519	517
746	1521	515
747	1522	513
748	1524	510
749	1527	509
750	1528	506
751	1530	504
752	1532	502
753	1534	500
754	1536	498
755	1538	496
756	1541	494
757	1543	492
758	1545	490
759	1547	488
760	1549	486
761	1550	484
762	1553	482
763	1555	480
764	1557	478
765	1559	476
766	1560	474
767	1562	472
768	1565	470
769	1567	468
770	1569	466
771	1571	464
772	1573	462
773	1575	459
774	1577	457
775	1580	456
776	1582	454
777	1583	451
778	1586	449
779	1587	447
780	1589	445
781	1592	443
782	1593	441
783	1595	439
784	1598	437
785	1599	435
786	1601	433
787	1602	431
788	1604	429
789	1606	426
790	1607	424
791	1609	422
792	1611	420
793	1612	418
794	1614	416
795	1617	414
796	1619	412
797	1620	410
798	1622	408
799	1624	406
800	1625	403
801	1627	401
802	1630	399
803	1631	397
804	1633	395
805	1636	393
806	1638	391
807	1639	389
808	1642	387
809	1644	385
810	1645	383
811	1647	381
812	1650	379
813	1651	377
814	1653	375
815	1654	373
816	1656	371
817	1658	368
818	1659	366
819	1661	364
820	1663	362
821	1664	360
822	1666	358
823	1668	356
824	1669	354
825	1670	351
826	1672	349
827	1673	347
828	1675	345
829	1676	343
830	1678	341
831	1679	339
832	1681	337
833	1683	335
834	1684	332
835	1685	330
836	1687	328
837	1689	326
838	1691	324
839	1692	322
840	1694	320
841	1696	318
842	1697	316
843	1699	314
844	1701	312
845	1702	309
846	1704	307
847	1705	305
848	1707	303
849	1708	301
850	1710	299
851	1711	297
852	1713	295
853	1714	293
854	1716	291
855	1717	288
856	1718	286
857	1720	284
858	1722	282
859	1724	280
860	1725	278
861	1728	276
862	1729	274
863	1731	272
864	1732	270
865	1734	268
866	1736	266
867	1737	264
868	1740	262
869	1742	260
870	1744	258
871	1745	256
872	1747	254
873	1750	252
874	1752	250
875	1754	248
876	1755	246
877	1757	244
878	1760	242
879	1762	240
880	1763	238
881	1766	236
882	1768	234
883	1770	232
884	1773	230
885	1775	228
886	1776	226
887	1779	224
888	1781	222
889	1783	220
890	1785	218
891	1786	216
892	1788	214
893	1789	212
894	1792	210
895	1794	208
896	1796	206
897	1798	204
898	1800	202
899	1801	200
900	1802	198
901	1805	196
902	1807	194
903	1808	192
904	1809	189
905	1812	188
906	1814	186
907	1815	183
908	1817	181
909	1819	179
910	1820	177
911	1822	175
912	1825	173
913	1826	171
914	1827	169
915	1829	167
916	1831	165
917	1833	163
918	1834	161
919	1836	159
920	1838	157
921	1839	155
922	1840	153
923	1842	151
924	1844	149
925	1846	147
926	1847	145
927	1849	143
928	1851	141
929	1852	139
930	1854	137
931	1856	135
932	1858	133
933	1859	131
934	1860	129
935	1863	127
936	1865	125
937	1866	123
938	1868	121
939	1869	119
940	1871	117
941	1872	115
942	1873	113
943	1875	111
944	1877	109
945	1878	107
946	1880	105
947	1881	103
948	1883	101
949	1884	99
950	1886	97
951	1887	95
952	1889	93
953	1890	91
954	1892	89
955	1893	87
956	1895	85
957	1896	83
958	1898	81
959	1899	79
960	1901	77
961	1903	75
962	1904	73
963	1906	71
964	1907	69
965	1909	67
966	1910	65
967	1912	63
968	1913	61
969	1915	59
970	1917	57
971	1918	55
972	1920	53
973	1922	51
974	1923	49
975	1925	47
976	1926	45
977	1928	43
978	1929	41
979	1931	39
980	1933	37
981	1935	35
982	1937	33
983	1940	31
984	1942	29
985	1943	27
986	1945	25
987	1947	23
988	1949	21
989	1951	19
990	1954	17
991	1955	15
992	1957	13
993	1959	11
994	1961	9
995	1963	7
996	1966	5
997	1968	3
998	1969	1
999	1972	0
