iter	Passed	Remaining
0	61	61931
1	63	31781
2	65	21685
3	67	16729
4	68	13666
5	70	11684
6	72	10254
7	74	9201
8	75	8354
9	77	7687
10	79	7148
11	81	6692
12	83	6313
13	85	6002
14	87	5731
15	88	5466
16	90	5239
17	92	5066
18	94	4873
19	96	4704
20	97	4566
21	99	4439
22	101	4320
23	103	4203
24	105	4113
25	107	4016
26	108	3920
27	111	3856
28	113	3784
29	114	3708
30	116	3641
31	118	3581
32	120	3516
33	121	3457
34	124	3419
35	126	3375
36	128	3348
37	131	3328
38	133	3287
39	135	3244
40	137	3219
41	139	3180
42	141	3155
43	143	3120
44	145	3090
45	147	3065
46	152	3090
47	155	3091
48	159	3099
49	165	3138
50	168	3138
51	171	3125
52	174	3120
53	179	3141
54	181	3119
55	185	3126
56	190	3146
57	193	3136
58	195	3124
59	198	3103
60	200	3091
61	203	3084
62	206	3065
63	208	3053
64	210	3033
65	213	3015
66	215	2998
67	217	2975
68	230	3103
69	231	3081
70	233	3057
71	236	3042
72	237	3018
73	239	2994
74	241	2979
75	243	2962
76	245	2943
77	247	2923
78	249	2907
79	251	2889
80	253	2870
81	255	2860
82	257	2844
83	259	2828
84	261	2816
85	263	2805
86	265	2788
87	268	2779
88	270	2764
89	272	2750
90	274	2745
91	276	2730
92	279	2725
93	281	2714
94	283	2702
95	285	2684
96	287	2675
97	289	2660
98	290	2646
99	292	2636
100	294	2623
101	296	2609
102	298	2595
103	300	2587
104	301	2573
105	303	2562
106	305	2552
107	307	2540
108	309	2533
109	311	2523
110	313	2513
111	315	2501
112	317	2489
113	319	2484
114	321	2473
115	322	2461
116	324	2450
117	326	2440
118	328	2429
119	329	2418
120	331	2410
121	333	2398
122	334	2388
123	336	2378
124	338	2372
125	340	2364
126	342	2355
127	345	2350
128	346	2341
129	348	2331
130	350	2322
131	352	2315
132	353	2306
133	355	2297
134	357	2290
135	359	2283
136	360	2274
137	362	2264
138	364	2259
139	366	2250
140	368	2241
141	369	2234
142	371	2227
143	373	2219
144	375	2211
145	377	2206
146	378	2198
147	380	2190
148	382	2183
149	384	2177
150	385	2169
151	387	2161
152	389	2156
153	391	2149
154	392	2141
155	394	2134
156	396	2129
157	398	2122
158	400	2116
159	401	2110
160	403	2104
161	405	2097
162	407	2090
163	409	2086
164	410	2079
165	412	2072
166	414	2066
167	416	2062
168	418	2055
169	419	2049
170	421	2044
171	423	2039
172	425	2033
