iter	Logloss
0	0.6461118556
1	0.601729108
2	0.5690936884
3	0.5388066265
4	0.5162976991
5	0.4964038604
6	0.4791369785
7	0.4638621551
8	0.450340596
9	0.4409370823
10	0.4342257462
11	0.4211470212
12	0.4156400977
13	0.4072120113
14	0.4013991071
15	0.3932529871
16	0.3879542476
17	0.3832104347
18	0.3761695732
19	0.3709015763
20	0.3671998848
21	0.3626609042
22	0.3598783082
23	0.3546433881
24	0.3511979339
25	0.3471593077
26	0.3437418304
27	0.3419687559
28	0.3375716119
29	0.3341160609
30	0.3303532271
31	0.3275357035
32	0.3246459078
33	0.3206547267
34	0.3173418424
35	0.3121225089
36	0.3095569678
37	0.3069392545
38	0.3037005519
39	0.3019498257
40	0.2978884945
41	0.2956044538
42	0.292074929
43	0.2877549768
44	0.2860701674
45	0.2842342852
46	0.2825017231
47	0.278967051
48	0.2773294887
49	0.2750118476
50	0.2718221743
51	0.2693628703
52	0.2676026647
53	0.2668504156
54	0.2642392313
55	0.2608819981
56	0.2590521883
57	0.2577889671
58	0.2561663359
59	0.2538243532
60	0.2515074761
61	0.2499914352
62	0.2483212397
63	0.2452823941
64	0.2435280307
65	0.242056814
66	0.2404749938
67	0.2379840781
68	0.2351086195
69	0.2330623753
70	0.2276836008
71	0.2263143577
72	0.2246239719
73	0.2236821131
74	0.2215564604
75	0.2188831246
76	0.2166960079
77	0.215456286
78	0.2134494165
79	0.2118960795
80	0.2096914632
81	0.2079044204
82	0.2062493125
83	0.2027551665
84	0.2009903839
85	0.1998948835
86	0.1976393554
87	0.1956466529
88	0.1930451366
89	0.1926140113
90	0.1915721638
91	0.1897697505
92	0.189030921
93	0.1881585154
94	0.186662978
95	0.1858398611
96	0.1831051295
97	0.1824313534
98	0.1795434622
99	0.1777920907
100	0.1767970305
101	0.1750736394
102	0.1743844613
103	0.1740339236
104	0.1729123829
105	0.1713285783
106	0.1701733369
107	0.1683670558
108	0.1667230672
109	0.1644999444
110	0.1627682145
111	0.1610068825
112	0.1609430944
113	0.158709736
114	0.1574956387
115	0.1563670939
116	0.1547693122
117	0.1537058623
118	0.1526815411
119	0.1504854178
120	0.1497873215
121	0.1497232779
122	0.1485990673
123	0.1471771276
124	0.1458316117
125	0.1439588472
126	0.1422793176
127	0.1405555952
128	0.138400988
129	0.1375729515
130	0.1361976608
131	0.1354932061
132	0.1337669584
133	0.1329865498
134	0.1320806694
135	0.1310876774
136	0.1296237957
137	0.1281359973
138	0.1262591453
139	0.1255338468
140	0.1247613873
141	0.1231812626
142	0.121648794
143	0.1206759259
144	0.1184641262
145	0.1172559626
146	0.1158340423
147	0.1149050875
148	0.1134252552
149	0.1125637353
150	0.1111611002
151	0.1101667218
152	0.1090655604
153	0.1080865421
154	0.1069625854
155	0.106255687
156	0.1058615449
157	0.104756224
158	0.1038886049
159	0.1026511578
160	0.1021061061
161	0.1007683832
162	0.1003767786
163	0.09940898911
164	0.09911534835
165	0.09808975229
166	0.09754791567
167	0.09665091117
168	0.09603605268
169	0.09522110689
170	0.09479102958
171	0.09430251772
172	0.09365353932
173	0.09282154434
174	0.09226432707
175	0.09161064346
176	0.0908801779
177	0.08954823043
178	0.08885445411
179	0.08881978414
180	0.08781839641
181	0.08701151961
182	0.08633375287
183	0.08570855136
184	0.08501120892
185	0.08414680244
186	0.08378256198
187	0.0835867795
188	0.08264126027
189	0.08206126143
190	0.0809952041
191	0.08077253002
192	0.08050416348
193	0.07998356177
194	0.07959452863
195	0.07932249235
196	0.07887475975
197	0.07851582188
198	0.0779449273
199	0.07750138286
200	0.07677375239
201	0.07673100099
202	0.07629683865
203	0.07624559668
204	0.07585670691
205	0.07544698657
206	0.07496779258
207	0.07454539728
208	0.07415205301
209	0.07372314963
210	0.07299383405
211	0.07250343621
212	0.07228912748
213	0.07163548453
214	0.07132727356
215	0.07081186518
216	0.07016668459
217	0.06944401027
218	0.06923534273
219	0.06905590512
220	0.0685445079
221	0.06824083129
222	0.06777143773
223	0.06753789858
224	0.06720395437
225	0.0668891038
226	0.06637982114
227	0.06599901092
228	0.06566804642
229	0.06536358339
230	0.06487721795
231	0.06405708989
232	0.06357559584
233	0.06306422013
234	0.062296628
235	0.0621614635
236	0.06160244783
237	0.06128634023
238	0.06121904305
239	0.06089090628
240	0.06053295109
241	0.06032064584
242	0.05999028608
243	0.05977445051
244	0.05955926444
245	0.05918123676
246	0.0586833022
247	0.05867066805
248	0.05843401383
249	0.05822962547
250	0.057786899
251	0.05731794287
252	0.05679879599
253	0.05628316654
254	0.05619641059
255	0.05606383676
256	0.05597779156
257	0.05570412673
258	0.05541885174
259	0.05533764885
260	0.05505341787
261	0.05449807888
262	0.05419762792
263	0.05394575436
264	0.05379390851
265	0.05347351225
266	0.05327051608
267	0.05300528475
268	0.05280699067
269	0.05261728548
270	0.05253296841
271	0.05204036416
272	0.05178299899
273	0.05160437243
274	0.05126929816
275	0.0510153995
276	0.05047995817
277	0.05030733082
278	0.04995902211
279	0.0498169122
280	0.04915008069
281	0.04906129534
282	0.04880149174
283	0.04868678327
284	0.0484943958
285	0.04828892655
286	0.04811175046
287	0.04787332262
288	0.04765207469
289	0.04724103582
