iter	RMSE
0	1.160089741
1	1.154270232
2	1.148244166
3	1.142310154
4	1.136716004
5	1.131360869
6	1.125635689
7	1.119947677
8	1.114399982
9	1.108967729
10	1.103636585
11	1.098366092
12	1.093031117
13	1.08780395
14	1.082623805
15	1.077684423
16	1.072738665
17	1.06777504
18	1.0629431
19	1.058323489
20	1.053741299
21	1.049328979
22	1.044738827
23	1.040175446
24	1.035900239
25	1.031233481
26	1.026912347
27	1.022631258
28	1.018495067
29	1.014239348
30	1.010099843
31	1.006126593
32	1.001826581
33	0.9977971775
34	0.9937027199
35	0.9895219506
36	0.9855786483
37	0.9818626282
38	0.9781026176
39	0.9742962522
40	0.9706090834
41	0.9670146372
42	0.9632952859
43	0.9596962908
44	0.9563354175
45	0.9527063461
46	0.9493330193
47	0.9461647117
48	0.9428559951
49	0.9396518212
50	0.9364424716
51	0.933502754
52	0.9304518185
53	0.9274190843
54	0.9242287417
55	0.9211263946
56	0.9181930778
57	0.9149922606
58	0.9120247222
59	0.909092455
60	0.9061660322
61	0.9030935734
62	0.9002377497
63	0.8973274307
64	0.8944918939
65	0.8916677083
66	0.8887732628
67	0.8860941255
68	0.8833952466
69	0.880725446
70	0.8780522822
71	0.8756450575
72	0.8732986681
73	0.870760504
74	0.8681523814
75	0.8657562567
76	0.8631820246
77	0.8608484091
78	0.8583698442
79	0.8559428325
80	0.8536538044
81	0.8512678225
82	0.8489119452
83	0.8467206768
84	0.8445317036
85	0.8423801821
86	0.8403225751
87	0.8378837213
88	0.8358820183
89	0.8339506398
90	0.8318690087
91	0.8299932174
92	0.8277953248
93	0.8257561575
94	0.8237159691
95	0.8216965954
96	0.8198551428
97	0.8178837863
98	0.8159557426
99	0.814249133
100	0.8124620176
101	0.8106449782
102	0.8089045331
103	0.8069146254
104	0.8050452934
105	0.8031837476
106	0.8013837424
107	0.7996678552
108	0.7978239642
109	0.7960386262
110	0.7943320916
111	0.7927194501
112	0.7910127134
113	0.7894622786
114	0.7879014924
115	0.7863644833
116	0.7848009638
117	0.7832711968
118	0.7815802182
119	0.7798084103
120	0.7783998971
121	0.7767818465
122	0.7753035055
123	0.7739396515
124	0.7724652939
125	0.771033202
126	0.7695533896
127	0.7680832487
128	0.7666054832
129	0.7652079216
130	0.763680634
131	0.7622235291
132	0.7608456634
133	0.7597133757
134	0.7583484251
135	0.7571495993
136	0.7558382812
137	0.7545134641
138	0.7532935242
139	0.7521624246
140	0.7508779079
141	0.7494776454
142	0.7483630612
143	0.7466563493
144	0.7454698879
145	0.7441002237
146	0.742991518
147	0.7416896414
148	0.7404544201
149	0.7389752854
150	0.7378597074
151	0.7367603803
152	0.735590817
153	0.7344776508
154	0.7333582697
155	0.7321903406
156	0.73106167
157	0.7298278344
158	0.7285581099
159	0.7274812794
160	0.7263792551
161	0.7252136805
162	0.7240872174
163	0.7229921269
164	0.721568091
165	0.7204246402
166	0.7193701943
167	0.7182825513
168	0.7168006052
169	0.7156755678
170	0.7146054968
171	0.7137158654
172	0.7128740979
173	0.7119645146
174	0.7110529113
175	0.7102493126
176	0.7093556417
177	0.7085271274
178	0.7072232953
179	0.7060018183
180	0.7050207756
181	0.7038007168
182	0.7030005169
183	0.702071605
184	0.7012808572
185	0.7004196554
186	0.6996288635
187	0.6988058918
188	0.698054098
189	0.6973439715
190	0.6966978537
191	0.6959069606
192	0.6951602993
193	0.6940055957
194	0.6931201682
195	0.6919825577
196	0.6911658969
197	0.6904768202
198	0.689694554
199	0.6887923512
200	0.6880851594
201	0.687402575
202	0.6867636139
203	0.6858247087
204	0.6851698461
205	0.6845527314
206	0.6839163422
207	0.6829871114
208	0.6820843756
209	0.6813567128
210	0.680742635
211	0.6799354328
212	0.679409944
213	0.6787684594
214	0.6781536489
215	0.6776332706
216	0.6769945408
217	0.6761408617
218	0.6754669586
219	0.6748621025
220	0.6740792254
221	0.6735506314
222	0.6730159684
223	0.6724184723
224	0.671442386
225	0.6707880223
226	0.6698548593
227	0.6690205346
228	0.6684335978
229	0.6678879485
230	0.6667943365
231	0.6661866924
232	0.6657174257
233	0.6650943949
234	0.6642389617
235	0.6637154973
236	0.6631996434
237	0.6625085242
238	0.6615828295
239	0.6610508166
240	0.6601538981
241	0.6593307893
242	0.6588483372
243	0.6582273388
244	0.6577755995
245	0.6571779614
246	0.656706038
247	0.6560857058
248	0.6555281387
249	0.6549935159
250	0.6541860357
251	0.6537200332
252	0.6529671912
253	0.6524294385
254	0.6516533217
255	0.6510334703
256	0.6506371204
257	0.6500680298
258	0.6496065882
259	0.6491869174
260	0.6483272761
261	0.6476870605
262	0.6472948657
263	0.6468665926
264	0.6463863826
265	0.6458994617
266	0.6453374052
267	0.6449745408
268	0.6444256299
269	0.644052791
270	0.6435671534
271	0.6432128911
272	0.642784154
273	0.6422714084
274	0.6418268798
275	0.6409536397
276	0.6401675494
277	0.6398011902
278	0.6390792163
279	0.6386880159
280	0.6379648481
281	0.6376627683
282	0.6372852738
283	0.6365008458
284	0.6360929193
285	0.6357168189
286	0.6351302244
287	0.6347362001
288	0.634430293
289	0.633835115
290	0.6334126836
291	0.6326013449
292	0.6322429516
293	0.631493998
294	0.6311862684
295	0.6304037367
296	0.6299692343
297	0.6296302556
298	0.6290139621
299	0.628671695
300	0.6282777265
301	0.6278518961
302	0.6274598926
303	0.6271127419
304	0.6268358499
305	0.6264930749
306	0.6261690456
307	0.6254092073
308	0.6248151826
309	0.6245061644
310	0.623743811
311	0.6232031474
312	0.6226836954
313	0.6222916128
314	0.6219843742
315	0.6215082806
316	0.6211809545
317	0.6208286975
318	0.6205687505
319	0.6202754164
320	0.6200033048
321	0.6196870051
322	0.6193837617
323	0.6188357971
324	0.6185877963
325	0.6181642293
326	0.6178848908
327	0.6172466395
328	0.6169151375
329	0.6163630087
330	0.6158633844
331	0.6152557998
332	0.6149865309
333	0.6147246284
334	0.6144210556
335	0.6141541931
336	0.6135798987
337	0.6130732605
338	0.6128022063
339	0.6122824278
340	0.612019923
341	0.6114712853
342	0.6111200427
343	0.6109005402
344	0.6103975335
345	0.6100828614
346	0.6097434177
347	0.6093678341
348	0.6090383671
349	0.6087084207
350	0.6084764044
351	0.6080142786
352	0.6075537014
353	0.6073094674
354	0.6068292348
355	0.6065823409
356	0.6063457181
357	0.6060993148
358	0.6057801974
359	0.6053232559
360	0.6050695271
361	0.6046312733
362	0.6041960214
363	0.6039309767
364	0.6036824189
365	0.603431937
366	0.6032101028
367	0.6029801042
368	0.6027268348
369	0.6025197218
370	0.6023090062
371	0.6020331366
372	0.6015487036
373	0.6011020153
374	0.6008718769
375	0.6003863252
376	0.6001553712
377	0.5999580341
378	0.5996238297
379	0.599371011
380	0.5991111053
381	0.598881772
382	0.5986738488
383	0.5985161365
384	0.5983301166
385	0.5979640407
386	0.597713811
387	0.5974719844
388	0.5972849006
389	0.5970486116
390	0.5968170259
391	0.5962991353
392	0.5961111267
393	0.5956346211
394	0.5954070098
395	0.5951904352
396	0.594812314
397	0.5945654659
398	0.5942053241
399	0.5939343712
400	0.5937596202
401	0.5934988825
402	0.5933145474
403	0.5930675037
404	0.5928860852
405	0.5925477197
406	0.5923927083
407	0.5922066571
408	0.5918268977
409	0.5916795498
410	0.5914589128
411	0.5912615112
412	0.5909833456
413	0.5908197207
414	0.5906641797
415	0.5903005806
416	0.5901428384
417	0.5899635851
418	0.5897765894
419	0.5894277414
420	0.5892163118
421	0.5889119995
422	0.5887253713
423	0.5885373103
424	0.5881589944
425	0.5877498602
426	0.5875232474
427	0.5873415653
428	0.5869960828
429	0.5868193647
430	0.5866434985
431	0.5863521156
432	0.5861937773
433	0.5859202024
434	0.5857479379
435	0.5854469897
436	0.5852450898
437	0.5850704758
438	0.5848824146
439	0.5846456949
440	0.5845024417
441	0.584357543
442	0.5842296708
443	0.5840478437
444	0.5837255117
445	0.5835258628
446	0.5833602324
447	0.5831607852
448	0.5829637532
449	0.5827969921
450	0.5826625199
